,gal_num,redshift,xcoord,xcoord_error,ycoord,ycoord_error,int_mag,int_mag_error,half_light_rad,half_light_rad_error,sersic_index,sersic_index_error,axis_ratio,axis_ratio_error,position_angle,position_angle_error,reduced_chi_squared,inclination_angle,is_good_fit,shows_internal_struct,overlaps_w_object,is_big_galaxy,edited,double_model,QSO,azimuthal_angle
11,11,0.86821,2213.56,0.29,3464.94,0.06,-22.61,0.02,10.48,0.33,0.42,0.03,0.21,0.01,-82.97,0.55,0.09,77.87764775521089,True,False,False,True,False,False,PHL1377,15.130424526422956
12,12,0.32242,2220.21,0.68,3378.86,0.69,-21.64,0.29,9.11,3.01,1.19,0.35,1.0,0.18,-38.77,1427.61,0.087,0.0,False,False,False,True,False,False,PHL1377,81.50157702550106
13,13,1.13426,2455.74,0.17,2850.43,0.11,-22.5,0.03,7.78,0.31,0.6,0.04,0.27,0.01,-56.06,0.81,0.096,74.33573314862649,True,False,False,True,False,False,PHL1377,14.578737295235003
14,14,1.07723,2526.95,0.05,2720.13,0.05,-21.07,0.07,1.55,0.14,1.1,0.14,0.96,0.07,0.81,69.86,0.111,16.260204708311967,True,False,False,False,True,False,PHL1377,71.31826624396531
15,15,1.08895,1975.93,0.11,3439.66,0.07,-21.68,0.07,3.57,0.32,1.03,0.1,0.69,0.03,66.63,6.35,0.098,46.369891132145696,True,False,False,True,False,False,PHL1377,66.5836895579114
16,16,0.18205,2071.46,0.14,3599.81,0.15,-21.66,0.05,5.13,0.33,0.66,0.07,0.36,0.02,42.47,1.85,0.086,68.89980397590698,True,False,False,True,False,False,PHL1377,82.11905541108946
17,17,0.69272,1800.78,0.07,3362.16,0.13,-21.63,0.03,3.57,0.16,0.46,0.05,0.48,0.02,-1.41,2.21,0.09,61.31459798588108,True,False,False,True,False,False,PHL1377,80.97396640434563
18,18,1.04959,2043.37,0.09,2696.62,0.09,-21.66,0.13,5.42,0.88,1.44,0.22,0.45,0.03,44.29,3.55,0.106,63.256316049597,True,False,False,True,False,False,PHL1377,44.87096952216503
0,78,0.1448222547769546,3479.01,0.0,1403.62,0.0,-28.54,0.01,10.45,0.09,2.31,0.01,0.73,0.0,-58.23,0.32,6.836,43.11360594589871,False,True,False,True,True,False,PG1630+377,16.537159716702572
1,80,0.17393,2305.88,0.05,2897.03,0.01,-28.49,0.01,54.68,0.63,1.35,0.01,0.19,0.0,-86.11,0.05,1.061,79.04721580110888,True,True,False,True,False,False,PG1630+377,85.84572769024955
2,81,0.1870958060026168,2253.65,0.08,796.77,0.03,-25.77,0.01,27.49,0.34,0.99,0.01,0.27,0.0,72.11,0.14,0.091,74.33573314862647,True,True,False,True,False,False,PG1630+377,21.45821312629062
3,82,0.2152,2064.02,0.15,3578.64,0.12,-24.74,0.02,22.27,0.4,0.7,0.02,0.32,0.0,-52.92,0.35,0.077,71.33707511505752,True,False,False,True,False,False,PG1630+377,65.60570108038415
4,83,0.27406,2025.46,0.02,3278.47,0.01,-26.47,0.02,20.13,0.48,1.93,0.03,0.72,0.0,-80.49,0.68,0.214,43.945519562308846,True,True,False,True,False,False,PG1630+377,7.918329140479383
5,84,0.27787,2397.42,0.03,2495.2,0.03,-27.43,0.01,21.17,0.25,1.11,0.01,0.72,0.0,-45.74,0.5,0.517,43.945519562308846,True,True,False,True,False,False,PG1630+377,24.090105415744336
6,85,0.3827,3015.0,0.05,4102.86,0.02,-25.53,0.01,22.17,0.17,0.75,0.01,0.18,0.0,69.77,0.06,0.11,79.63024019452257,True,True,True,True,True,False,PG1630+377,62.112467512815485
